서울역

5           20 40 51 
6           00 07 15 22 26 36 41 50 56 
7           00 05 14 23 29 34 36 42 48 57 
8           01 06 12 16 20 28 32 39 47 51 56 
9           00 03 10 15 21 29 38 40 45 50 57 
10          08 18 27 29 34 40 47 56 
11          02 06 11 17 24 31 35 41 45 49 58 
12          01 06 11 19 28 30 36 41 48 57 59 
13          09 19 28 32 37 48 55 
14          00 05 08 12 18 24 28 34 41 51 57 
15          02 11 13 20 26 30 39 47 53 
16          02 04 11 16 21 25 35 38 45 52 
17          03 10 16 20 26 35 41 45 48 55 
18          02 10 16 20 25 30 35 39 44 52 57 
19          01 05 11 22 27 33 43 45 49 55 
20          01 07 13 17 22 26 30 35 41 50 52 56 
21          00 02 06 10 15 23 32 39 48 55
22          05 15 26 38 49 
23          00

공덕

02 08 17 24 34 44 49 54            9      06 14 18 25 30 38 42 48 56 
06 12 19 28 33 37 45 56            10     08 12 17 24 35 45 56 
02 06 14 24 29 36 43 55            11     01 07 14 24 32 38 44 51 
01 07 14 24 35 41 47 55            12     00 08 12 16 28 33 38 46 57 
01 07 19 26 32 37 45 57            13     03 08 15 26 36 46 55  
06 13 18 25 33 43 48 59            14     02 15 22 30 35 40 45 53 
05 12 25 30 36 44 52               15     01 08 19 24 29 41 47 55 
00 08 18 25 32 37 41 47 59         16     06 14 20 31 38 43 48 53 
06 11 18 29 39 44 51 57            17     05 12 19 30 38 45 53 
02 11 17 24 31 37 42 47 52         18     02 10 15 22 29 37 45 52 57 
05 12 19 24 29 39 44 49 57         19     02 06 11 19 26 32 38 49 54 
02 07 19 23 29 34 41 47 52         20     01 12 16 23 28 34 40 44 51 57 
03 09 13 18 26 33 38 44 54         21     02 08 19 23 30 39 46 58  
03 12 20 28 37 46 52               22     03 07 17 25 29 33 37 42 50 59 
07 25 39 56                        23     06 15 22 32 42 53 
13 28                              0      05 16 27 




검양





30 40 48 58                       5    25 56 
08 18 27 35 42 49 56              6    13 26 40 57
02 07 11 20 25 32 38 44 49 56     7    09 25 31 48 
02 08 14 21 27 32 39 47 56        8    05 15 30 41 53   
02 11 18 28 38 43 48              9    01 12 26 36 44 54  
00 06 13 22 27 31 39 50 56        10   04 14 23 41 53 
00 08 18 23 30 37 49 55           11   02 13 31 38 50 
01 08 18 29 35 41 49 55           12   06 14 24 34 44 54 
01 13 20 26 31 39 51              13   09 23 32 42 52 
00 07 12 19 27 37 42 53 59        14   03 21 30 41 53 59 
06 19 24 30 38 46 54              15   07 25 37 47 
02 12 19 26 31 35 41 53           16   01 12 28 37 49
00 05 12 23 33 38 45 51 56        17   01 11 18 36 46 59 
05 11 18 25 31 36 41 46 59        18   10 21 35 45 58  
05 12 19 24 29 39 44 49 57        19   02 06 11 19 26 32 38 49 54 
02 07 19 23 29 34 41 47 52        20   01 12 16 23 28 34 40 44 51 57 
03 09 13 18 26 33 38 44 54        21   02 08 19 23 30 39 46 58  
03 12 20 28 37 46 52              22   03 07 17 25 29 33 37 42 50 59 
07 25 39 56                       23   06 15 22 32 42 53 
13 28                             0    05 16 27 




청라국제도시


43 53                        5     29 
03 12 22 30 37 42 51 57      6     00 18 31 45 
06 20 27 32 44 51            7     02 14 30 36 52 
03 14 27 34 42 57            8     09 20 35 46 58  
13 31 43                     9     06 17 31 41 48 59   
01 06 17 26 34 44 55         10    09 18 28 46 57  
03 18 32 43 56               11    07 18 36 43 55 
13 30 36 42 56               12    11 19 28 39 49 59 
13 26 34 44 55               13    14 27 37 47 57 
02 12 22 32 46               14    08 26 35 46 58  
01 12 25 34 49 57            15    04 12 29 42 51 
14 19 30 37 53               16    06 17 33 42 54 
07 18 27 40 51               17    05 16 23 41 50 
00 11 26 36 41 59            18    04 15 26 40 50 
13 27 38 46 56               19    03 13 22 32 
06 18 28 41 59               20    00 13 23 33 45 57  
08 22 33 43 52               21    08 21 34 41 52 
09 26 41 56                  22    09 18 30 35 44 53 
14 28 45                     23    01 10 17 26 33 43 53  
02 17                        0     04 16 



영종

35 45 55                       5     38
04 14 22 29 34 43 49 58       6     09 26 39 53
